sampleID	Year	Month	Day	Hour	LineID	LineName	WRCNo	SubSpcies	RnaExtractionDate	DailySampleNo	TecanConc	RIN	"rRNA
ratio"	ErrorConditionChange	Replicate	AfterLightInduction
K1	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	177	-	-	-	1	0
K2	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	267	-	-	-	1	1
K3	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	176	-	-	-	1	5
K4	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	103	-	-	-	1	30
K5	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	201	-	-	-	1	10
K6	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	108	-	-	-	1	60
K7	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	155	-	-	-	2	0
K8	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	115	-	-	-	2	1
K9	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	131	-	-	-	2	5
K10	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	128	-	-	-	2	30
K11	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	152	-	-	-	2	10
K12	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	188	-	-	-	2	60
K13	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	315	-	-	-	3	0
K14	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	341	-	-	-	3	1
K15	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	308	-	-	-	3	5
K16	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	275	-	-	-	3	30
K17	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	249	-	-	-	3	10
K18	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	88	-	-	-	3	60
K19	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	203	-	-	-	4	0
K20	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	273	-	-	-	4	1
K21	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	244	-	-	-	4	5
K22	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	367	-	-	-	4	30
K23	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	290	-	-	-	4	10
K24	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	183	-	-	-	4	60
K25	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	151	-	-	-	5	0
K26	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	158	-	-	-	5	1
K27	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	280	-	-	-	5	5
K28	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	179	-	-	-	5	30
K29	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	184	-	-	-	5	10
K30	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	237	-	-	-	5	60
K31	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	155	-	-	-	6	0
K32	-	-	-	-	Koshihikari	Koshihikari	-	-	-	-	279	-	-	-	6	1
