Pathway	Protein	Gene_name	Definition
Eeleoctron transport	PsbA	Os04g0473150	 Similar to photosystem II protein D1
Eeleoctron transport	PsbE	Os03g0659233	Cytochrome b559 subunit alpha
Eeleoctron transport	PsbF	Os03g0659266	Cytochrome b559 subunit beta
Eeleoctron transport	PsbI	Os08g0433350	Similar to photosystem II protein I
Eeleoctron transport	PsbK	Os11g0592350	Photosystem II reaction center protein K
Eeleoctron transport	PsbL	Os03g0667201	Photosystem II reaction center protein L
Eeleoctron transport	PsbO	Os01g0501800	Similar to Photosystem II oxygen-evolving complex protein 1 (Fragment)
Eeleoctron transport	PsbP	Os07g0141400	Similar to 23 kDa polypeptide of photosystem II
Eeleoctron transport	PsbP	Os08g0347500	"Similar to PsbP family protein, expressed"
Eeleoctron transport	PsbP	Os10g0461100	"Similar to Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein)"
Eeleoctron transport	PsbP	Os10g0461400	"Similar to PsbP family protein, expressed"
Eeleoctron transport	PsbQ	Os02g0578400	Photosystem II oxygen evolving complex protein PsbQ family protein
Eeleoctron transport	PsbQ	Os07g0105600	Photosystem II oxygen evolving complex protein PsbQ family protein
Eeleoctron transport	PsbQ	Os07g0544800	"Similar to Oxygen-evolving enhancer protein 3-2, chloroplast precursor (OEE3) (16 kDa subunit of oxygen evolving system of photosystem II) (OEC 16 kDa subunit) (Ferredoxin-NADP reductase binding protein) (BP)"
Eeleoctron transport	PsbR	Os07g0147500	"Similar to Photosystem II 10 kDa polypeptide, chloroplast precursor"
Eeleoctron transport	PsbR	Os07g0147550	"Similar to Photosystem II 10 kDa polypeptide, chloroplast"
Eeleoctron transport	PsbR	Os08g0200300	Similar to Photosystem II 10 kDa polypeptide (Fragment)
Eeleoctron transport	PsbS	Os01g0869800	Similar to Photosystem II subunit PsbS
Eeleoctron transport	PsbS	Os04g0690800	22 kDa protein of photosystem II
Eeleoctron transport	PsbW	Os01g0773700	Similar to Photosystem II reaction center W protein (PSII 6.1 kDa protein) (Fragment)
Eeleoctron transport	PSbY	Os08g0119800	"Similar to Photosystem II core complex proteins psbY, chloroplast precursor (L- arginine metabolising enzyme) (L-AME) [Contains: Photosystem II protein psbY-1 (psbY-A1); Photosystem II protein psbY-2 (psbY-A2)]"
Eeleoctron transport	PsbZ	Os12g0504050	Similar to Photosystem II reaction center protein Z
Eeleoctron transport	Psb27	Os03g0333400	Similar to photosystem II 11 kD protein
Eeleoctron transport	Psb28	Os01g0938100	"hotosystem II protein Psb28, class 1 domain containing protein"
Eeleoctron transport	PsaC	Os09g0485201	Similar to photosystem I subunit VII
Eeleoctron transport	PsaD	Os08g0560900	"Similar to Photosystem I reaction center subunit II, chloroplast precursor (Photosystem I 20 kDa subunit) (PSI-D)"
Eeleoctron transport	PsaE	Os07g0435300	"Photosystem I reaction center subunit IV, chloroplast precursor (PSI- E) (Photosystem I 10.8 kDa polypeptide)"
Eeleoctron transport	PsaF	Os03g0778100	Similar to Photosystem-1 F subunit
Eeleoctron transport	PsaG	Os09g0481200	Similar to photosystem I reaction center subunit V
Eeleoctron transport	PsaH	Os05g0560000	"Photosystem I reaction center subunit VI, chloroplast precursor (PSI- H) (Light-harvesting complex I 11 kDa protein) (GOS5 protein)"
Eeleoctron transport	PsaJ	Os04g0519975	Similar to photosystem I subunit IX
Eeleoctron transport	PsaK	Os07g0148900	Photosystem I protein-like protein
Eeleoctron transport	PsaL	Os12g0420400	"Similar to Photosystem I reaction center subunit XI, chloroplast precursor (PSI- L) (PSI subunit V)"
Eeleoctron transport	PsaN	Os12g0189400	"Similar to Photosystem I reaction centre subunit N, chloroplast precursor (PSI- N)"
Eeleoctron transport	PsaO	Os04g0414700	Photosystem I PsaO domain containing protein
Eeleoctron transport	PetH	Os02g0103800	Similar to Ferredoxin--NADP reductase
Eeleoctron transport	PetH	Os03g0784700	"Ferredoxin--NADP reductase, root isozyme, chloroplast precursor (EC 1.18.1.2) (FNR)"
Eeleoctron transport	PetH	Os06g0107700	"Ferredoxin--NADP reductase, leaf isozyme, chloroplast precursor (EC 1.18.1.2) (FNR)"
Eeleoctron transport	PetH	Os07g0147900	Similar to Ferredoxin-NADP reductase precursor (Fragment)
Eeleoctron transport	PetC	Os07g0556200	Rieske [2Fe-2S] region domain containing protein
Eeleoctron transport	PetE	Os06g0101600	"Plastocyanin, chloroplast precursor"
Eeleoctron transport	PetF	Os01g0860601	"Similar to Ferredoxin, root R-B1"
Eeleoctron transport	PetF	Os03g0659200	Similar to Ferredoxin
Eeleoctron transport	PetF	Os03g0685000	Similar to Ferredoxin
Eeleoctron transport	PetF	Os03g0835900	"Similar to Ferredoxin III, chloroplast precursor (Fd III)"
Eeleoctron transport	PetF	Os04g0412200	Similar to Ferredoxin I
Eeleoctron transport	PetF	Os05g0443500	"Similar to Ferredoxin VI, chloroplast precursor (Fd VI)"
Eeleoctron transport	PetF	Os07g0251500	Similar to ferredoxin3
Eeleoctron transport	PetF	Os08g0104600	"Ferredoxin I, chloroplast precursor (Anti-disease protein 1)"
Eeleoctron transport	beta	Os06g0120732	Similar to ATP synthase subunit beta (Fragment)
Eeleoctron transport	beta	Os10g0355800	Similar to ATP synthase CF1 beta subunit
Eeleoctron transport	beta	Os12g0207500	Similar to ATP synthase subunit beta
Eeleoctron transport	gamma	Os07g0513000	"Similar to ATP synthase gamma chain, chloroplast (EC 3.6.1.34) (Fragment)"
Eeleoctron transport	delta	Os02g0750100	Similar to ATP synthase
Eeleoctron transport	b	Os03g0278900	"ATPase, F0 complex, subunit B/B', bacterial and chloroplast family protein"
Antenna	Lhca1	Os06g0320500	Similar to Light-harvesting complex I (Fragment).
Antenna	Lhca2	Os07g0577600	Similar to Type II chlorophyll a/b binding protein from photosystem I precursor.
Antenna	Lhca2	Os09g0439500	Similar to Type II chlorophyll a/b binding protein from photosystem I precursor.
Antenna	Lhca3	Os02g0197600	Chlorophyll a/b-binding protein type III (Fragment).
Antenna	Lhca4	Os08g0435900	Similar to LHC I type IV chlorophyll binding protein (Fragment).
Antenna	Lhca5	Os02g0764500	Similar to Lhca5 protein.
Antenna	Lhcb1	Os01g0600900	"Chlorophyll a-b binding protein 2, chloroplast precursor (LHCII type I CAB-2) (LHCP)."
Antenna	Lhcb1	Os01g0720500	Similar to Type I chlorophyll a/b-binding protein b (Fragment).
Antenna	Lhcb1	Os09g0346500	"Similar to Chlorophyll a-b binding protein, chloroplast precursor (LHCII type I CAB) (LHCP)."
Antenna	Lhcb2	Os03g0592500	Similar to Photosystem II type II chlorophyll a/b binding protein (Fragment).
Antenna	Lhcb3	Os07g0562700	Similar to Type III chlorophyll a/b-binding protein (Fragment).
Antenna	Lhcb4	Os07g0558400	Similar to Chlorophyll a/b-binding protein CP29 precursor.
Antenna	Lhcb5	Os11g0242800	Similar to ASCAB9-A (ASCAB9-B) (Fragment).
Antenna	Lhcb6	Os04g0457000	"Similar to Chlorophyll a/b-binding protein CP24, photosystem II (Fragment)."
Antenna	Lhcb7	Os09g0296800	Chlorophyll A-B binding protein family protein.
Carbox fixation		Os01g0118000	Similar to Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment)
Carbox fixation		Os01g0905800	Aldolase C-1.
Carbox fixation		Os05g0402700	"Similar to Fructose-bisphosphate aldolase, cytoplasmic isozyme (EC 4.1.2.13)"
Carbox fixation		Os06g0608700	"Similar to Fructose-bisphosphate aldolase, cytoplasmic isozyme (EC 4.1.2.13)."
Carbox fixation		Os08g0120600	"Similar to Fructose-bisphosphate aldolase, cytoplasmic isozyme (EC 4.1.2.13)"
Carbox fixation		Os10g0163340	Similar to Cytosolic aldolase.
